DisNo.,Historic,Disaster Group,Disaster Subgroup,Disaster Type,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected
2020-0166-TZA,No,Natural,Hydrological,Flood,TZA,United Republic of Tanzania,Sub-Saharan Africa,Africa,"Kilimanjaro, Kagera, Katavi, Mara and Rukwa (Arusha and Kilimanjaro Regions, and the Unguja Island (Zanzibar Archipelago)",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,2020,4,22.0,2020,4,26.0,2,0,19323,0,19323
2020-0169-BFA,No,Natural,Hydrological,Flood,BFA,Burkina Faso,Sub-Saharan Africa,Africa,"Kongoussi Commune (Bam Province, Centre-Nord region)",Heavy rains,,No,No,No,,2020,4,19.0,2020,4,26.0,0,0,21000,0,21000
2020-0171-RWA,No,Natural,Hydrological,Flood,RWA,Rwanda,Sub-Saharan Africa,Africa,"Gatsibo district (East Province), Gicumbi district (North Province), Rulindo districts",,"Slide (land, mud, snow, rock)",No,No,No,,2020,4,17.0,2020,4,25.0,9,0,0,0,0
2020-0172-BDI,No,Natural,Hydrological,Flood,BDI,Burundi,Sub-Saharan Africa,Africa,"Bujumbura City (Bujumbura Mairie Province, central-west Burundi), Cibitoke and Bubanza Provinces",Heavy rains,,No,No,No,Rusizi River,2020,4,13.0,2020,4,19.0,0,0,27000,0,27000
2020-0175-COD,No,Natural,Hydrological,Flood,COD,Democratic Republic of the Congo,Sub-Saharan Africa,Africa,"Bukavu, Uvira (South Kivu)",,,No,No,No,Mulongwe river,2020,4,16.0,2020,5,18.0,52,80,92500,0,92580
2020-0194-TZA,No,Natural,Hydrological,Flood,TZA,United Republic of Tanzania,Sub-Saharan Africa,Africa,Rufiji District (Pwani Region),Heavy rains,,No,No,No,Rufiji River,2020,3,10.0,2020,3,17.0,0,0,0,17500,17500
2020-0228-GHA,No,Natural,Hydrological,Flood,GHA,Ghana,Sub-Saharan Africa,Africa,Greater Accra Region,Heavy rains,,No,No,No,,2020,6,8.0,2020,6,10.0,3,0,200,0,200
2020-0248-BFA,No,Natural,Hydrological,Flood,BFA,Burkina Faso,Sub-Saharan Africa,Africa,"Kongoussi (Bam) , Pensa (Bam) , Barsalogho Municipalities (Sanmatenga)",Heavy rains,,No,No,No,,2020,6,5.0,2020,6,11.0,0,24,14500,3500,18024
2020-0257-NGA,No,Natural,Hydrological,Flood,NGA,Nigeria,Sub-Saharan Africa,Africa,Akwa Ibom (southern part of the country) and Kwara (west-central Nigeria),Heavy rains,Collapse,No,No,No,,2020,6,14.0,2020,6,16.0,4,0,300,0,300
2020-0259-CIV,No,Natural,Hydrological,Flood,CIV,Côte d’Ivoire,Sub-Saharan Africa,Africa,"Abobo, Adjamé, Anyama, Cocody, Port-Bouet ,Yopougon (Abidjan area); San-Pedro,Alépé (Me Region), Divo(Lôh-Djiboua), Azaguié (Agneby-Tiassa), Niakaramadougou (Vallée du Bandama),Tabou (Bas-Sassandra)",Torrential rains,"Slide (land, mud, snow, rock)",No,No,No,,2020,6,15.0,2020,6,17.0,24,32,16525,2100,18657
2020-0302-TCD,No,Natural,Hydrological,Flood,TCD,Chad,Sub-Saharan Africa,Africa,Grande Sido departement (Moyen-Chari Province),Heavy rains,,No,No,No,,2020,4,20.0,2020,4,21.0,0,0,2062,0,2062
2020-0305-SDN,No,Natural,Hydrological,Flood,SDN,Sudan,Northern Africa,Africa,"Khartoum, Blue Nile, River Nile, ElGezira, West Kordofan; South Darfur, North Darfur,West Darfur, Gedaref, Sennar, Sennar states",Heavy rains,Storm,No,No,Yes,,2020,6,0.0,2020,9,9.0,155,13,875000,0,875013
2020-0321-NGA,No,Natural,Hydrological,Flood,NGA,Nigeria,Sub-Saharan Africa,Africa,"Suleja City, Gwagwalada area, Abuja",,,No,No,No,,2020,6,24.0,2020,7,31.0,30,0,0,0,0
2020-0336-NER,No,Natural,Hydrological,Flood,NER,Niger,Sub-Saharan Africa,Africa,"Maradi, Tahoua, Tillabéri, Dosso",Heavy rains,,No,No,No,,2020,7,1.0,2020,9,10.0,73,0,0,632608,632608
2020-0362-SSD,No,Natural,Hydrological,Flood,SSD,South Sudan,Sub-Saharan Africa,Africa,"Bor South, Twic East, Duk, Ayod Countie (Jonglei); Renk county (Eastern Nile); Pochallla county (Pibor); Lakes (El Buhyerat), Unity, Upper Nile, Warrap, Western Equatoria, Central Equatoria, Northern Bahr-el-Ghazal",Heavy rains,,No,No,No,"White Nile, Akobo River",2020,7,0.0,2020,12,0.0,0,0,1042000,0,1042000
2020-0382-TCD,No,Natural,Hydrological,Flood,TCD,Chad,Sub-Saharan Africa,Africa,"Ndjamena, Lac, Mandoul, Tandjile, Mayo-Kebi East, Batha, Salama, Sila",Heavy rains,,No,No,No,,2020,8,1.0,2020,10,12.0,3,0,34872,0,34872
2020-0385-UGA,No,Natural,Hydrological,Flood,UGA,Uganda,Sub-Saharan Africa,Africa,Kasitu Sub County (Bundibugyo District),Heavy rains,,No,No,No,,2020,8,19.0,2020,8,19.0,1,0,4000,0,4000
2020-0387-NER,No,Natural,Hydrological,Flood,NER,Niger,Sub-Saharan Africa,Africa,Niamey,,,No,No,No,,2020,8,0.0,2020,9,10.0,10,12,50000,0,50012
2020-0397-SEN,No,Natural,Hydrological,Flood,SEN,Senegal,Sub-Saharan Africa,Africa,"Dakar, Thiès, Diourbel, Kaolack, Fatick, Kaffrine, Saint-Louis, Matam, Kolda, Sédhiou, Tambacounda",Heavy rains,,No,No,No,,2020,9,5.0,2020,9,6.0,11,0,17000,0,17000
2020-0399-BFA,No,Natural,Hydrological,Flood,BFA,Burkina Faso,Sub-Saharan Africa,Africa,"Soum (Sahel); Sanguie (West Central); Sanmatenga, Namentenga, Bam (North Central); Gourma (East); Kadiogo (Centrall)",Heavy rains,,No,No,Yes,,2020,8,25.0,2020,9,10.0,13,87,71341,20000,91428
2020-0399-GHA,No,Natural,Hydrological,Flood,GHA,Ghana,Sub-Saharan Africa,Africa,Bagre Dam in West Mamprusi Municipality,Heavy rains,,No,No,No,,2020,9,5.0,2020,9,6.0,4,0,0,0,0
2020-0426-TGO,No,Natural,Hydrological,Flood,TGO,Togo,Sub-Saharan Africa,Africa,"Mandouri, Koumongou, Savanes and Kara regions",Heavy rains,,No,No,No,Oti River,2020,9,1.0,2020,10,31.0,11,0,57000,0,57000
2020-0436-MRT,No,Natural,Hydrological,Flood,MRT,Mauritania,Sub-Saharan Africa,Africa,"Nouakchott, Assaba, Hodh Ech Chargui",Heavy rains,,No,No,No,,2020,9,1.0,2020,9,15.0,9,0,10000,700,10700
2020-0455-NGA,No,Natural,Hydrological,Flood,NGA,Nigeria,Sub-Saharan Africa,Africa,"Jigawa, Kebbi, Kwara, Sokoto, Zamfara",Heavy rains,,No,No,No,,2020,6,24.0,2020,10,31.0,155,825,192600,0,193425
2020-0480-GIN,No,Natural,Hydrological,Flood,GIN,Guinea,Sub-Saharan Africa,Africa,"Bordo, Far, Senkefera 2, Madina, Salamanida, Energieako 1, Farako 2, Dalako, Briqueterie, Missira, Kokolinikoro, Djodon, Senkefera, Banankoroda, Korialen, Hermakonon, Kankancoura, Dar-es-salam, Aviation, Kabada 1, Kabada 2, Fourouban, Timbo, Gare, Metéo, Sobje, Batè Nafadji, Gbéredou Baranama, Balandou, Karifamoria, Missamana, Tintioulen, Sabadou Baranama, Moribaya, Koumban,Tokounou, Mamouroudou, Boula prefectures (Kankan)",Heavy rains,,No,No,No,,2020,9,6.0,2020,9,7.0,0,5,49536,0,49541
2020-0481-MRT,No,Natural,Hydrological,Flood,MRT,Mauritania,Sub-Saharan Africa,Africa,"Bassiknou, Adel Begrou, Amourj, Néma departments",Torrential rains,,No,No,No,,2020,9,1.0,2020,9,8.0,0,0,9282,0,9282
2020-0484-MOZ,No,Natural,Hydrological,Flood,MOZ,Mozambique,Sub-Saharan Africa,Africa,"Niassa, Nampula, Zambézia, Manica, Tete",Heavy rains,,No,No,No,,2020,10,1.0,2020,10,31.0,22,0,145000,0,145000
2020-0509-COG,No,Natural,Hydrological,Flood,COG,Congo,Sub-Saharan Africa,Africa,Likouala region,Hevay rains,,No,No,Yes,,2020,11,2.0,2020,11,2.0,0,0,66000,0,66000
2020-0522-UGA,No,Natural,Hydrological,Flood,UGA,Uganda,Sub-Saharan Africa,Africa,Mbarara and Kasese Districts,Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,Kuruhe river,2020,11,21.0,2020,11,24.0,7,0,2300,0,2300
2020-0531-COD,No,Natural,Hydrological,Flood,COD,Democratic Republic of the Congo,Sub-Saharan Africa,Africa,"Mbanza-Ngungu City; Noki, Disengomoka districts (Kongo Central Province)",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,2020,12,2.0,2020,12,3.0,18,4,0,0,4
2020-0564-ETH,No,Natural,Hydrological,Flood,ETH,Ethiopia,Sub-Saharan Africa,Africa,"South Gondar zone (Amhara Region); Afar, Gambella, Oromia, Somali, SNNPR",Heavy rains,,No,No,No,"Lake Tana, Gumera & Rib rivers",2020,6,0.0,2020,9,0.0,0,0,1010854,0,1010854
2020-0592-CMR,No,Natural,Hydrological,Flood,CMR,Cameroon,Sub-Saharan Africa,Africa,"Mayo-Danay, Mayo-Kani (Far North Region)",Heavy rains,,No,No,No,,2020,9,11.0,2020,9,12.0,0,0,26402,0,26402
2020-0604-ZMB,No,Natural,Hydrological,Flood,ZMB,Zambia,Sub-Saharan Africa,Africa,"Munengo, Kambobe, Katala, Chiloweni communities of Mapona ward in Mumbwa district of Central province",Heavy rains,Broken Dam/Burst bank,No,No,No,,2020,12,22.0,2020,12,26.0,3,0,4272,0,4272
2020-0606-CPV,No,Natural,Hydrological,Flood,CPV,Cabo Verde,Sub-Saharan Africa,Africa,Praia,Tropical Depression Rene,"Slide (land, mud, snow, rock)",No,No,No,,2020,9,11.0,2020,9,13.0,1,0,25000,0,25000
